epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,12955.5,0.60158,0.81626,1.12385,0.89209,0.85179,0.92604,0.84036,0.44358,0.59225,0.8056,0.004258,0.004258,0.004258
60,13171.9,0.59375,0.81287,1.11846,0.89092,0.85115,0.92583,0.84045,0.44378,0.59156,0.80629,0.004159,0.004159,0.004159
61,13386.8,0.59881,0.81072,1.12158,0.88806,0.85216,0.92609,0.83997,0.44454,0.59061,0.80707,0.00406,0.00406,0.00406
62,13600.3,0.59299,0.8132,1.117,0.88338,0.85505,0.92588,0.84044,0.44431,0.58936,0.80704,0.003961,0.003961,0.003961
63,13814,0.59563,0.80793,1.11851,0.8829,0.85601,0.92628,0.84008,0.44421,0.58794,0.80689,0.003862,0.003862,0.003862
64,14027,0.58523,0.79549,1.11382,0.88218,0.85672,0.92597,0.84025,0.44283,0.58793,0.80594,0.003763,0.003763,0.003763
65,14239.4,0.5867,0.80611,1.11443,0.89179,0.84749,0.92564,0.83987,0.44205,0.58701,0.80579,0.003664,0.003664,0.003664
66,14452,0.58381,0.79592,1.11457,0.89143,0.84767,0.92555,0.83982,0.44006,0.58672,0.80386,0.003565,0.003565,0.003565
67,14665,0.58191,0.79522,1.1136,0.90987,0.83815,0.92537,0.8398,0.43907,0.58634,0.80302,0.003466,0.003466,0.003466
68,14878.9,0.58024,0.78699,1.1145,0.91095,0.83483,0.92542,0.83973,0.43812,0.58559,0.80249,0.003367,0.003367,0.003367
69,15091.9,0.57927,0.78607,1.11156,0.91163,0.83607,0.92555,0.84026,0.43878,0.58497,0.80317,0.003268,0.003268,0.003268
70,15306,0.56919,0.77388,1.10479,0.90988,0.8373,0.92557,0.84084,0.43798,0.58282,0.80238,0.003169,0.003169,0.003169
